Row Labels,Sum of usd pledged,Count of category,Average of usd pledged2
Art,71341309.82,28153,2534.05711
Comics,57816918.4,10819,5344.016859
Crafts,10387490.16,8809,1179.190619
Dance,11161583.89,3768,2962.990149
Design,512132010,30070,17033.02657
Fashion,97629228.88,22816,4279.731233
Film & Video,346876031,63585,5532.57781
Food,103560172.7,24602,4209.934253
Games,574402020.9,35231,16306.19488
Journalism,10252217.02,4755,2156.54544
Music,166265791.1,51918,3356.870405
Photography,30171720,10779,2799.380219
Publishing,103713884.1,39874,2633.735852
Technology,503320829.4,32569,15457.30696
Theater,38785122.71,10913,3554.355087
Grand Total,2637816330,378661,7036.728867
